	20-sep-2015	Sample_Alias	alias	collection_date	depth	description	ena checklist	environment (biome)	environment (feature)	environment (material)	environmental package	event date/time	event label	geographic location (country and/or sea)	insdc center alias	insdc center name	insdc first public	insdc last update	insdc status	last update date	latitude	longitude	marine region	nitrate sensor	oxygen sensor	protocol label	salinity	sample collection device	sample name	sample site	sampling campaign	sampling platform	sampling site	sampling station	sequencing method	size fraction lower threshold	sra accession	temperature	title
0		SAMEA104347471	KD177_170407		-999		ERC000027	marine biome	marine water body		water	9999-99-99T00:00:00Z			UNIVERSITY OF ALASKA FAIRBANKS	UNIVERSITY OF ALASKA FAIRBANKS	2017-10-12T17:01:53Z	2017-10-11T23:04:14Z	public		-999	-999	Arctic Ocean			NPL022	-999		ERS1972449		GEOTRACES ARCTIC 2015	CGC Healy					ERS1972449	-999	
1		SAMEA104347470	KD177_170322		-999		ERC000027	marine biome	marine water body		water	9999-99-99T00:00:00Z			UNIVERSITY OF ALASKA FAIRBANKS	UNIVERSITY OF ALASKA FAIRBANKS	2017-10-12T17:01:53Z	2017-10-11T23:04:14Z	public		-999	-999	Arctic Ocean			NPL022	-999		ERS1972448		GEOTRACES ARCTIC 2015	CGC Healy					ERS1972448	-999	
2		SAMEA104347469	KD134_170407		1	Station 66 seawater, depth 1m	ERC000027	marine biome	marine water body	seawater	water	2016-10-06T00:00:00Z			UNIVERSITY OF ALASKA FAIRBANKS	UNIVERSITY OF ALASKA FAIRBANKS	2017-10-12T17:01:53Z	2017-10-11T23:04:14Z	public		72.02705	-162.5408	Arctic Ocean			NPL022	-999		ERS1972447		GEOTRACES ARCTIC 2015	CGC Healy	66				ERS1972447	-999	Station 66 seawater, depth 1m
3		SAMEA104347468	KD134_170322		1	Station 66 seawater, depth 1m	ERC000027	marine biome	marine water body	seawater	water	2016-10-06T00:00:00Z			UNIVERSITY OF ALASKA FAIRBANKS	UNIVERSITY OF ALASKA FAIRBANKS	2017-10-12T17:01:53Z	2017-10-11T23:04:14Z	public		72.02705	-162.5408	Arctic Ocean			NPL022	-999		ERS1972446		GEOTRACES ARCTIC 2015	CGC Healy	66				ERS1972446	-999	Station 66 seawater, depth 1m
4		SAMEA104347467	KD126_170407		336.2	Station 60 seawater, depth 336.2m	ERC000027	marine biome	marine water body	seawater	water	2015-10-04T00:00:00Z			UNIVERSITY OF ALASKA FAIRBANKS	UNIVERSITY OF ALASKA FAIRBANKS	2017-10-12T17:01:53Z	2017-10-11T23:04:14Z	public		72.9997	-158.7448	Arctic Ocean			NPL022	34.8129		ERS1972445		GEOTRACES ARCTIC 2015	CGC Healy	60				ERS1972445	0.6785	Station 60 seawater, depth 336.2m
5		SAMEA104347466	KD126_170322		336.2	Station 60 seawater, depth 336.2m	ERC000027	marine biome	marine water body	seawater	water	2015-10-04T00:00:00Z			UNIVERSITY OF ALASKA FAIRBANKS	UNIVERSITY OF ALASKA FAIRBANKS	2017-10-12T17:01:53Z	2017-10-11T23:04:14Z	public		72.9997	-158.7448	Arctic Ocean			NPL022	34.8129		ERS1972444		GEOTRACES ARCTIC 2015	CGC Healy	60				ERS1972444	0.6785	Station 60 seawater, depth 336.2m
6		SAMEA104347465	KD125_170407		36.6	Station 60 seawater, depth 36.6m	ERC000027	marine biome	marine water body	seawater	water	2015-10-04T00:00:00Z			UNIVERSITY OF ALASKA FAIRBANKS	UNIVERSITY OF ALASKA FAIRBANKS	2017-10-12T17:01:53Z	2017-10-11T23:04:14Z	public		72.9997	-158.7448	Arctic Ocean			NPL022	30.081		ERS1972443		GEOTRACES ARCTIC 2015	CGC Healy	60				ERS1972443	-0.8518	Station 60 seawater, depth 36.6m
7		SAMEA104347464	KD125_170322		36.6	Station 60 seawater, depth 36.6m	ERC000027	marine biome	marine water body	seawater	water	2015-10-04T00:00:00Z			UNIVERSITY OF ALASKA FAIRBANKS	UNIVERSITY OF ALASKA FAIRBANKS	2017-10-12T17:01:53Z	2017-10-11T23:04:14Z	public		72.9997	-158.7448	Arctic Ocean			NPL022	30.081		ERS1972442		GEOTRACES ARCTIC 2015	CGC Healy	60				ERS1972442	-0.8518	Station 60 seawater, depth 36.6m
8		SAMEA104347463	KD116_170407		110.9	Station 60 seawater, depth 110.9m	ERC000027	marine biome	marine water body	seawater	water	2015-10-04T00:00:00Z			UNIVERSITY OF ALASKA FAIRBANKS	UNIVERSITY OF ALASKA FAIRBANKS	2017-10-12T17:01:53Z	2017-10-11T23:04:14Z	public		72.9997	-158.7448	Arctic Ocean			NPL022	32.4233		ERS1972441		GEOTRACES ARCTIC 2015	CGC Healy	60				ERS1972441	-1.3887	Station 60 seawater, depth 110.9m
9		SAMEA104347462	KD116_170322		110.9	Station 60 seawater, depth 110.9m	ERC000027	marine biome	marine water body	seawater	water	2015-10-04T00:00:00Z			UNIVERSITY OF ALASKA FAIRBANKS	UNIVERSITY OF ALASKA FAIRBANKS	2017-10-12T17:01:53Z	2017-10-11T23:04:14Z	public		72.9997	-158.7448	Arctic Ocean			NPL022	32.4233		ERS1972440		GEOTRACES ARCTIC 2015	CGC Healy	60				ERS1972440	-1.3887	Station 60 seawater, depth 110.9m
10		SAMEA104347461	KD109_170407		40.3	Station 54 seawater, depth 40.3m	ERC000027	marine biome	marine water body	seawater	water	2015-09-28T00:00:00Z			UNIVERSITY OF ALASKA FAIRBANKS	UNIVERSITY OF ALASKA FAIRBANKS	2017-10-12T17:01:53Z	2017-10-11T23:04:14Z	public		76.5011	-149.5091	Arctic Ocean			NPL022	29.0736		ERS1972439		GEOTRACES ARCTIC 2015	CGC Healy	54				ERS1972439	-1.0737	Station 54 seawater, depth 40.3m
